fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,April,36,TELANGANA,3614,Mahabubnagar,567915,938341.539999999,1,0,0,11,350,11807,3,0,24565,0,22690,0,28.1502462,2,2,80320,147125,0,139311,227594,11818,28.1502462,2,24,66.67,0,100,NA
2025-2026,April,36,TELANGANA,3624,Jogulamba Gadwal,478028,129689.292894737,2,0,0,0,136,12986,38,22,43550,0,2828,0,49.2819313,19,19,82904,189359,0,170642,365129,12986,49.2819313,28,38,100,0,0,NA
2025-2026,April,36,TELANGANA,3627,Jangaon,676465,0,0,0,0,0,157,14085,0,0,33917,0,28578,0,44.31953883,0,0,76950,160370,0,117820,231196,14085,44.31953883,0,32,0,0,0,NA
2025-2026,April,36,TELANGANA,3630,Bhadradri Kothagudem,812195,0,0,0,0,12,265,14461,0,0,33961,0,176070,0,165.6270039,0,0,128953,287039,0,223397,458591,14473,165.6270039,0,41,91.6,0,0,NA
2025-2026,April,36,TELANGANA,3631,Kumram Bheem(Asifabad),924776,0,0,0,0,7,292,11665,0,0,30752,0,68272,0,26.7588913,0,0,88325,186135,0,123028,244059,11672,26.7588913,0,26,0,0,0,NA
2025-2026,April,36,TELANGANA,3638,Sangareddy,1302187,2851852.93,1,0,0,4,525,14558,2,1,79196,0,33241,0,57.0370585999999,2,2,124488,250073,0,229476,420746,14562,57.0370585999999,1,9,99.36,0,100,NA
2025-2026,April,36,TELANGANA,3640,Siddipet,872736,1539222.825,2,0,0,57,262,18771,10,4,62371,2,9984,0,153.9222825,5,5,122422,264500,0,206189,413469,18828,153.9222825,6,59,100,0,100,NA
2025-2026,April,36,TELANGANA,3644,Yadadri Bhuvanagiri,518140,56378.8481609196,1,0,0,0,303,11682,87,8,37697,0,18558,0,49.0495979,49,49,88404,176462,0,157721,292060,11682,49.0495979,83,34,100,0,100,NA
2025-2026,April,36,TELANGANA,3629,Kamareddy,773978,733.352972377123,4,106,16.97522,3,120,11608,23133,5337,61826,2300,41481,0,186.6217631,4970,6757,155910,306673,0,257919,496620,11611,169.6465431,13623,12,42.23,23.39,100,NA
2025-2026,April,36,TELANGANA,3633,Medchal,7134,1.70227272727273,4,2,1.76365,0,61,871,616,178,1434,129,166,0,1.774136,148,157,4482,4970,0,20838,22396,871,0.010486,475,4,100,0,0,NA
2025-2026,April,36,TELANGANA,3642,Suryapet,987580,286.87833533604,6,478,32.5865617,89,137,20298,96536,21219,83776,16337,77924,0,309.5274315,16007,23372,176299,407104,0,291448,634330,20387,276.9408698,58505,19,24.11,2.73,100,NA
2025-2026,April,36,TELANGANA,3646,Narayanpet,424195,467.002714083291,4,65,14.64904,4,48,8423,32464,4673,22913,3265,7227,0,166.2568011,6705,8626,65760,135191,0,116841,210846,8427,151.6077611,22070,23,45.77,44.61,100,NA
2025-2026,April,36,TELANGANA,3617,Medak,940527,321.164352424807,9,423,20.77559,2,55,12080,324665,58326,47177,56567,32557,0,1063.4838348,34402,51587,112715,245329,0,172840,347230,12082,1042.7082448,190522,18,21.2,87.19,100,NA
2025-2026,April,36,TELANGANA,3618,Nizamabad,1071261,350.209974289722,6,576,23.0746599,16,29,14619,200309,43598,67470,39942,48488,0,724.5767573,33180,40331,157987,312187,0,268070,505039,14635,701.5020974,139603,7,40.42,86.25,100,NA
2025-2026,April,36,TELANGANA,3620,Karimnagar,430096,313.486072615191,7,419,10.31232,44,15,12957,145672,47831,43218,1032,1178,0,466.973751700001,20376,24057,78870,159104,0,138568,258951,13001,456.661431700001,107386,20,25.23,67.46,100,NA
2025-2026,April,36,TELANGANA,3624,Jogulamba Gadwal,478028,524.877816073089,6,101,16.13914,142,15,12999,54837,15973,43842,1223,2838,0,303.966388,8805,12927,83239,190173,0,170666,365253,13141,287.827248,29389,39,43.72,44.84,100,NA
2025-2026,April,36,TELANGANA,3627,Jangaon,676465,259.649708887691,7,331,25.4972159,9,8,14517,211506,45691,34079,41963,28678,0,574.67192918,26443,36377,77206,160936,0,117823,231303,14526,549.17471328,141489,33,47.27,50.84,100,NA
2025-2026,April,36,TELANGANA,3630,Bhadradri Kothagudem,812195,277.12278905691,10,200,31.166856,47,36,14977,209630,16673,34029,130505,176566,0,612.0993587,20405,28200,129274,287884,0,223406,458862,15024,580.9325027,125250,41,44.78,64.88,100,NA
2025-2026,April,36,TELANGANA,3632,Mahabubabad,963133,328.208290314062,9,463,15.86033,55,29,14813,287840,27543,37626,152625,144686,0,960.575072839997,29511,45119,136271,306783,0,236083,494740,14868,944.714742839997,158644,14,43.59,90.25,100,NA
2025-2026,April,36,TELANGANA,3635,Nagarkurnool,734124,257.823142394748,7,485,25.3648363,69,11,15604,261681,79506,59813,46329,35982,0,700.03901355,33253,45018,104799,218370,0,204594,394710,15673,674.67417725,171589,27,61.65,66.96,100,NA
2025-2026,April,36,TELANGANA,3638,Sangareddy,1302187,290.734209404101,8,529,24.46288,84,55,14770,366287,130448,79398,56416,33460,0,1089.3844936,43752,60831,124904,250931,0,229411,420735,14854,1064.9216136,229920,9,24.09,83.91,100,NA
2025-2026,April,36,TELANGANA,3641,Rajanna Sirsilla,405646,293.720346165936,7,215,8.79103,10,9,9224,155879,39359,34986,26066,12236,0,466.639368399999,20111,25198,60041,130531,0,99949,203407,9234,457.848338399999,111387,14,54.03,80.5,100,NA
2025-2026,April,36,TELANGANA,3645,Mulugu,295843,343.555146855199,8,79,9.39021,57,6,4669,61387,6693,20102,27078,42297,0,220.288408000001,7568,10879,52328,115783,0,86252,181861,4726,210.898198000001,31879,14,15.13,55.34,100,NA
2025-2026,April,36,TELANGANA,3619,Adilabad,1220268,310.547399017968,11,705,34.76561,16,25,18228,515463,67321,39755,278636,111057,0,1635.52254939999,43318,73781,108541,234614,0,174474,348527,18244,1600.75693939999,265295,42,59.02,83.24,100,NA
2025-2026,April,36,TELANGANA,3621,Warangal,478923,238.132463013993,7,346,11.09356,24,13,6669,139715,25777,27321,38302,40358,0,343.8003307,17664,24286,74613,160879,0,130234,264845,6693,332.7067707,91987,26,48.78,69.86,100,NA
2025-2026,April,36,TELANGANA,3636,Nirmal,1417613,284.466671592357,9,578,22.24916,31,28,14041,448668,84503,52209,115049,48435,0,1298.5600861,48282,71993,128947,263052,0,184905,349471,14072,1276.3109261,274117,28,15.04,78.05,100,NA
2025-2026,April,36,TELANGANA,3638,Sangareddy,1302187,290.630720602321,8,526,24.46288,84,57,14767,359144,128267,79388,55794,33459,0,1068.2456752,43376,60346,124898,250915,0,229411,420725,14851,1043.7827952,224822,9,23.73,84.38,100,NA
2025-2026,April,36,TELANGANA,3642,Suryapet,987580,251.4488200772,8,921,32.5865617,138,39,20396,304664,67384,83916,62383,77995,0,798.660594900002,37137,54381,176536,407595,0,291443,634339,20534,766.074033200002,187369,19,26.08,29.5,100,NA
2025-2026,April,36,TELANGANA,3644,Yadadri Bhuvanagiri,518140,347.598697453267,6,539,18.62363,8,11,12257,220832,46484,37865,22937,18590,0,786.232785559999,32803,39036,88811,177236,0,157702,292101,12265,767.60915556,178006,37,80.01,93.61,100,NA
2025-2026,April,36,TELANGANA,3615,Vikarabad,1534322,271.639155451299,6,513,32.0409148,96,127,19407,171372,47625,75466,30731,36850,0,497.55436828,28417,42639,126109,272987,0,192497,391241,19503,465.51345348,99281,41,72.52,6.31,100,NA
2025-2026,April,36,TELANGANA,3624,Jogulamba Gadwal,478028,827.025400409031,4,68,16.13914,72,28,13025,24937,7218,43716,395,2832,0,222.3744641,5505,7958,83115,189866,0,170665,365227,13097,206.2353241,13879,38,49.19,2.3,100,NA
2025-2026,April,36,TELANGANA,3642,Suryapet,987580,291.357281556363,6,602,32.5865617,90,88,20383,130972,29063,83783,24233,77948,0,414.1830205,21249,30765,176334,407170,0,291447,634325,20473,381.5964588,80239,19,31.41,2,100,NA
2025-2026,April,36,TELANGANA,3621,Warangal,478923,0,0,0,0,0,287,6418,0,0,27222,0,40159,0,6.3147939,0,0,74331,160288,0,130235,264780,6418,6.3147939,0,26,0,0,0,NA
2025-2026,April,36,TELANGANA,3627,Jangaon,676465,0,0,0,0,0,237,14056,0,0,33904,0,28572,0,12.59273465,0,0,76931,160325,0,117818,231187,14056,12.59273465,0,32,0,0,0,NA
2025-2026,April,36,TELANGANA,3618,Nizamabad,1071261,65543.8465923567,2,1,0,0,228,14331,314,127,67355,24,48387,0,205.8076783,152,163,157683,311587,0,268033,504888,14331,205.8076783,233,7,97.66,0,100,NA
2025-2026,April,36,TELANGANA,3621,Warangal,478923,0,0,0,0,2,114,6428,0,0,27237,0,40191,0,44.1652295,0,0,74367,160370,0,130231,264779,6430,44.1652295,0,26,100,0,0,NA
2025-2026,April,36,TELANGANA,3622,Khammam,996307,105046.534883721,2,2,0,0,67,22982,344,121,100815,25,90136,0,361.36008,163,192,174344,397877,0,322301,678089,22982,361.36008,180,19,87.12,12.88,100,NA
2025-2026,April,36,TELANGANA,3625,Hanumakonda,357332,0,0,0,0,6,184,5706,0,0,32251,0,3652,0,10.779352,0,0,57301,122302,0,98630,200141,5712,10.779352,0,23,60.13,0,0,NA
2025-2026,April,36,TELANGANA,3632,Mahabubabad,963133,0,0,0,0,51,176,14552,0,0,37437,0,143796,0,201.6898655,0,0,135669,305241,0,235691,493536,14603,201.6898655,0,15,100,0,0,NA
2025-2026,April,36,TELANGANA,3615,Vikarabad,1534322,235.810704600044,6,436,32.0409148,81,214,19305,154042,43087,75443,26982,36827,0,395.288440379999,25546,38384,126084,272890,0,192501,391179,19386,363.247525579999,89061,41,73.4,5.4,100,NA
2025-2026,April,36,TELANGANA,3641,Rajanna Sirsilla,405646,477.10933273574,4,110,8.79103,10,27,9128,45739,10802,34879,7319,12219,0,227.0160677,9389,11610,59923,130264,0,100023,203515,9138,218.2250377,32994,14,53.72,21,100,NA
2025-2026,April,36,TELANGANA,3642,Suryapet,987580,302.143008603549,6,519,32.5865617,89,110,20308,106119,22816,83778,18857,77947,0,353.217701,17524,25638,176317,407139,0,291447,634332,20397,320.6311393,64107,19,24.79,2.48,100,NA
2025-2026,April,36,TELANGANA,3625,Hanumakonda,357332,0,0,0,0,12,177,5706,0,0,32252,0,3652,0,11.4539696,0,0,57301,122305,0,98631,200146,5718,11.4539696,0,23,100,0,0,NA
2025-2026,April,36,TELANGANA,3627,Jangaon,676465,495447.04765,1,1,0,5,50,14102,20,4,33930,8,28583,0,99.0894095300001,15,16,76975,160420,0,117820,231214,14107,99.0894095300001,7,32,0.13,0,100,NA
2025-2026,April,36,TELANGANA,3632,Mahabubabad,963133,932555.002896551,2,0,0,51,95,14583,29,0,37473,29,143954,0,270.44095084,10,11,135752,305475,0,235793,493771,14634,270.44095084,10,15,7.2,0,100,NA
2025-2026,April,36,TELANGANA,3639,Rangareddy,455296,0,0,0,0,0,93,13237,0,0,47294,0,21239,0,213.3527371,0,0,82888,151497,0,171005,280334,13237,213.3527371,0,37,0,0,0,NA
2025-2026,April,36,TELANGANA,3642,Suryapet,987580,437416.025789474,1,0,0,71,328,20223,19,3,83673,1,77879,0,83.1090449,10,13,176130,406740,0,291447,634304,20294,83.1090449,11,19,36.24,63.11,100,NA
2025-2026,April,36,TELANGANA,3617,Medak,940527,468190.441764706,1,1,0,2,168,11924,68,22,47009,2,32453,0,318.3695004,51,68,112407,244620,0,172836,347039,11926,318.3695004,41,18,7.46,0,100,NA
2025-2026,April,36,TELANGANA,3620,Karimnagar,430096,3865207.8625,1,0,0,2,24,12839,4,1,43081,0,1177,0,154.6083145,4,4,78651,158653,0,138569,258910,12841,154.6083145,1,20,98.26,0,100,NA
2025-2026,April,36,TELANGANA,3637,Peddapalli,413126,17275517.38,1,0,0,0,63,8489,1,0,34623,0,4579,0,172.7551738,1,1,70306,158794,0,125166,256201,8489,172.7551738,0,12,100,0,100,NA
2025-2026,April,36,TELANGANA,3640,Siddipet,872736,62617.7207407407,2,1,0,57,90,18808,432,115,62392,4,9985,0,270.5085536,187,229,122449,264570,0,206186,413483,18865,270.5085536,317,59,23.09,10.75,100,NA
2025-2026,April,36,TELANGANA,3619,Adilabad,1220268,419.146713744535,8,375,34.76561,14,38,17688,208803,29448,39655,106858,110727,0,909.956522700001,26038,43700,108218,233953,0,174474,348477,17702,875.190912700001,108699,41,58.51,26.74,100,NA
2025-2026,April,36,TELANGANA,3620,Karimnagar,430096,474.939548670083,4,322,10.31232,37,15,12895,67711,21932,43172,525,1176,0,331.8986378,15205,17565,78789,158930,0,138569,258934,12932,321.5863178,50420,20,28.03,39.78,100,NA
2025-2026,April,36,TELANGANA,3623,Nalgonda,1475811,417.372499684612,5,694,42.9949,98,90,24758,182315,35291,102357,38355,100247,0,803.9275728,34073,45698,216634,499849,0,381881,809499,24856,760.9326728,119269,33,44.01,14.38,100,NA
2025-2026,April,36,TELANGANA,3627,Jangaon,676465,336.355295926116,5,217,25.4972159,9,12,14349,97450,20759,34020,17820,28623,0,353.27545178,17575,23565,77102,160717,0,117827,231279,14358,327.77823588,65701,33,50.96,5.12,100,NA
2025-2026,April,36,TELANGANA,3638,Sangareddy,1302187,388.108485086604,5,293,24.46288,33,88,14676,150167,55040,79345,22389,33389,0,607.273748800001,27425,36620,124715,250595,0,229415,420756,14709,582.810868800001,95769,9,21.58,18.3,100,NA
2025-2026,April,36,TELANGANA,3639,Rangareddy,455296,597.418670563231,4,175,21.10776,41,50,13513,65870,20769,47382,7694,21257,0,414.6274383,13944,17384,83060,151830,0,170986,280254,13554,393.5196783,45222,39,68.54,6.49,100,NA
2025-2026,April,36,TELANGANA,3641,Rajanna Sirsilla,405646,408.2013595171,5,137,8.79103,10,22,9136,62456,14802,34904,8568,12222,0,263.7372711,12237,15034,59949,130297,0,99949,203347,9146,254.9462411,45714,14,53.97,23.93,100,NA
2025-2026,April,36,TELANGANA,3642,Suryapet,987580,288.062426952246,6,559,32.5865617,90,100,20310,119990,25920,83784,22903,77954,0,378.2326678,19620,28454,176331,407179,0,291447,634341,20400,345.6461061,73320,19,27.69,2.2,100,NA
2025-2026,April,36,TELANGANA,3643,Wanaparthy,453787,540.794051713722,4,63,22.79214,258,21,9746,24829,3936,24773,5696,14621,0,157.0658951,6171,7423,70209,147529,0,135099,265898,10004,134.2737551,16617,27,58.9,31.33,100,NA
2025-2026,April,36,TELANGANA,3617,Medak,940527,465.87017975562,6,254,20.77559,2,83,12007,136018,23933,47120,26576,32507,0,654.442891099999,21899,31821,112557,244980,0,172837,347158,12009,633.667301099999,81052,18,20.74,66.02,100,NA
2025-2026,April,36,TELANGANA,3620,Karimnagar,430096,472.299468850832,4,322,10.31232,37,15,12915,68493,22231,43175,525,1176,0,333.8043952,15344,17734,78790,158936,0,138569,258939,12952,323.4920752,50967,20,27.86,39.29,100,NA
2025-2026,April,36,TELANGANA,3628,Jayashanker Bhopalapally,532180,303.918363534499,6,183,10.88498,4,23,7397,57117,13889,40620,8131,18110,0,184.4740317,9176,12880,70506,166075,0,113545,252325,7401,173.5890517,29664,16,22.76,15.34,100,NA
2025-2026,April,36,TELANGANA,3632,Mahabubabad,963133,444.28402449858,7,269,15.86033,55,54,14684,123599,12300,37540,67057,144300,0,564.99094144,16754,25292,136002,306104,0,235999,494334,14739,549.13061144,68499,14,38.14,48.47,100,NA
2025-2026,April,36,TELANGANA,3635,Nagarkurnool,734124,351.379636255965,5,360,25.3648363,49,39,15387,115672,35931,59710,17996,35894,0,431.812689149999,21728,28725,104551,217857,0,204531,394565,15436,406.447852849999,76281,26,60.15,7.03,100,NA
2025-2026,April,36,TELANGANA,3637,Peddapalli,413126,538.327838018741,4,272,10.6845898,1,7,8529,71712,15541,34659,3461,4590,0,396.730249,14519,17926,70413,159064,0,125167,256239,8530,386.0456592,51508,12,19.43,48.61,100,NA
2025-2026,April,36,TELANGANA,3645,Mulugu,295843,533.453038407575,5,53,9.39021,57,10,4646,22808,2330,20089,10647,42298,0,131.060179,4326,6024,52325,115782,0,86307,181973,4703,121.669969,11648,14,15.23,39.5,100,NA
2025-2026,April,36,TELANGANA,3622,Khammam,996307,386.790258657174,7,663,29.14476,362,13,22934,281183,66024,100971,71373,90264,0,1116.733213,35237,46456,174662,398537,0,322300,678115,23296,1087.588453,155167,20,17.45,33.35,100,NA
2025-2026,April,36,TELANGANA,3625,Hanumakonda,357332,244.361411267284,6,98,9.32081,44,10,5726,52506,16025,32289,3023,3658,0,137.6252126,7677,9506,57368,122437,0,98634,200173,5770,128.3044026,33725,23,47.98,62.66,100,NA
2025-2026,April,36,TELANGANA,3626,Jagtial,613607,330.915196215241,7,296,10.93258,12,4,12502,270876,68820,45778,19633,8806,0,907.302426899998,34447,41269,100172,178620,0,170673,278182,12514,896.369846899997,205241,13,7.49,88,100,NA
2025-2026,April,36,TELANGANA,3630,Bhadradri Kothagudem,812195,264.967406695723,10,327,31.166856,47,11,15137,357004,32551,34076,218931,176840,0,977.111096599999,33056,45423,129478,288314,0,223407,458869,15184,945.944240599999,219291,42,44.72,68.47,100,NA
2025-2026,April,36,TELANGANA,3635,Nagarkurnool,734124,259.563073756694,8,500,25.3648363,72,10,15655,294075,87728,59843,53620,36000,0,788.674945449997,35149,47855,104858,218481,0,204623,394762,15727,763.310109149997,192983,27,62.57,68.23,100,NA
2025-2026,April,36,TELANGANA,3638,Sangareddy,1302187,290.76493576661,8,539,24.46288,85,51,14800,397379,142534,79416,60548,33471,0,1179.9016741,45610,63521,124927,250990,0,229410,420736,14885,1155.4387941,249511,9,23.6,83.87,100,NA
2025-2026,April,36,TELANGANA,3641,Rajanna Sirsilla,405646,289.220485799392,8,222,8.79103,10,9,9243,169535,42918,34996,26694,12236,0,499.120980599999,20743,26041,60055,130594,0,99949,203447,9253,490.329950599999,121361,14,54.97,81.27,100,NA
2025-2026,April,36,TELANGANA,3642,Suryapet,987580,254.829250588654,8,970,32.5865617,171,19,20481,332114,74579,83943,64936,77997,0,878.910179000004,39254,57727,176565,407655,0,291444,634355,20652,846.323617300004,204272,19,27.45,30.73,100,NA
2025-2026,April,36,TELANGANA,3614,Mahabubnagar,567915,253.437378559845,8,217,20.57301,32,15,12069,219532,32276,24685,41458,22873,0,576.9491559,24756,30481,80693,147873,0,139335,227842,12101,556.3761459,156519,25,26.06,55.92,100.01,NA
2025-2026,April,36,TELANGANA,3623,Nalgonda,1475811,297.507713270841,9,1573,42.9949,153,29,25648,698328,128106,102690,162296,100719,0,2120.57456393,76583,109177,217469,501721,0,381888,809703,25801,2077.57966393,447346,34,47.9,65.93,100,NA
2025-2026,April,36,TELANGANA,3624,Jogulamba Gadwal,478028,468.690588619455,6,122,16.13914,174,12,13019,70436,20648,43883,1664,2840,0,346.266042999999,10253,15079,83308,190365,0,170665,365295,13193,330.126902999999,37031,38,44,45.01,100,NA
2025-2026,April,36,TELANGANA,3627,Jangaon,676465,252.001660774106,9,386,25.4972159,9,7,14614,275828,56776,34089,56340,28702,0,720.588356780001,29548,41007,77258,161039,0,117823,231312,14623,695.091140880001,184083,34,48.11,51.4,100,NA
2025-2026,April,36,TELANGANA,3632,Mahabubabad,963133,292.63968398639,11,532,15.86033,55,27,14859,408821,39567,37661,216698,144972,0,1212.23281247,36073,55866,136509,307215,0,236173,494959,14914,1196.37248247,225654,14,43.62,90.19,100.01,NA
2025-2026,April,36,TELANGANA,3636,Nirmal,1417613,283.901025489109,10,690,22.24916,35,13,14167,617754,114958,52224,158610,48506,0,1776.05910099999,57284,86838,129058,263345,0,184896,349558,14202,1753.80994099999,376038,28,15.39,81.07,100,NA
2025-2026,April,36,TELANGANA,3637,Peddapalli,413126,328.359096763079,8,481,10.6845898,19,5,8585,214772,47651,34768,9092,4600,0,715.907989099999,25407,32394,70609,159564,0,125166,256324,8604,705.223399299999,152371,12,22.36,72.4,100,NA
2025-2026,April,36,TELANGANA,3638,Sangareddy,1302187,271.834008602753,9,589,24.46288,90,48,14879,471012,165512,79436,76601,33482,0,1304.8336806,48606,68186,124962,251081,0,229408,420749,14969,1280.3708006,294985,9,23.17,83.55,100,NA
2025-2026,April,36,TELANGANA,3623,Nalgonda,1475811,291.954439902356,9,1731,42.9949,154,27,25783,788991,141954,102732,190383,100813,0,2346.48915493,81038,116111,217607,502030,0,381888,809749,25937,2303.49425493,505665,34,48.29,67.43,100,NA
2025-2026,April,36,TELANGANA,3624,Jogulamba Gadwal,478028,456.021258870113,7,124,16.13914,211,11,12988,76521,22732,43886,1894,2840,0,365.091167499999,10621,15651,83313,190380,0,170665,365306,13199,348.952027499999,40387,38,43.59,44.66,100,NA
2025-2026,April,36,TELANGANA,3626,Jagtial,613607,311.732299093885,9,318,10.93258,25,2,12534,340134,87281,45807,24921,8817,0,1071.2401182,37083,44600,100251,178761,0,170675,278197,12559,1060.3075382,256277,13,8.98,86.05,100,NA
2025-2026,April,36,TELANGANA,3627,Jangaon,676465,246.120210010092,9,401,25.4972159,9,6,14652,303214,62641,34103,61611,28711,0,771.768149480001,30585,42632,77278,161085,0,117822,231316,14661,746.270933580001,202397,34,49.19,52.86,100,NA
2025-2026,April,36,TELANGANA,3629,Kamareddy,773978,266.807764495809,7,613,17.81032,34,27,11746,221771,49191,61967,40357,41563,0,609.5125674,28842,39583,156207,307311,0,257945,496761,11780,591.7022474,135395,12,42.1,61.31,100,NA
2025-2026,April,36,TELANGANA,3633,Medchal,7134,249.797379464286,8,3,1.76365,0,34,872,2240,750,1436,264,168,0,7.35911130000001,270,285,4485,4974,0,20838,22396,872,5.59546130000001,1637,4,100,100,100,NA
2025-2026,April,36,TELANGANA,3638,Sangareddy,1302187,259.245136143564,10,610,24.46288,90,48,14909,525034,184139,79448,84549,33483,0,1385.5879881,50595,71371,124982,251135,0,229406,420753,14999,1361.1251081,327568,9,22.96,84.13,100,NA
2025-2026,April,36,TELANGANA,3644,Yadadri Bhuvanagiri,518140,319.041566610292,8,666,18.62363,13,10,12518,338799,70636,37942,36832,18603,0,1099.53326726,40389,48897,88969,177523,0,157698,292109,12531,1080.90963726,271375,38,79.28,93.52,100,NA
2025-2026,April,36,TELANGANA,3614,Mahabubnagar,567915,246.576452159984,11,277,20.57301,35,12,12253,350836,50850,24732,62821,22925,0,885.651971700002,30599,38424,80842,148167,0,139364,227947,12288,865.078961700002,249750,26,28.8,60.82,100.01,NA
2025-2026,April,36,TELANGANA,3622,Khammam,996307,341.162848289198,10,796,29.14476,414,11,23630,444207,98349,101042,117893,90363,0,1544.6140135,41387,55930,174842,398930,0,322299,678145,24044,1515.4692535,244946,20,18.16,36.32,100.01,NA
2025-2026,April,36,TELANGANA,3626,Jagtial,613607,305.861186087237,10,357,10.93258,35,2,12583,445979,114077,45833,32785,8826,0,1375.0092391,40762,49280,100313,178891,0,170684,278255,12618,1364.0766591,333992,13,7.79,80.69,100.01,NA
2025-2026,April,36,TELANGANA,3627,Jangaon,676465,238.559944675533,11,450,25.4972159,19,4,14842,400040,81181,34160,84605,28724,0,979.832418580003,33844,47564,77372,161291,0,117828,231342,14861,954.335202680003,267317,34,51.44,55.71,100,NA
2025-2026,April,36,TELANGANA,3630,Bhadradri Kothagudem,812195,272.735148771432,12,449,31.166856,97,1,15298,536763,49681,34144,324294,177156,0,1495.1082226,44408,62262,129714,288894,0,223391,458970,15395,1463.9413666,323449,42,42.83,69.54,100,NA
2025-2026,April,36,TELANGANA,3633,Medchal,7134,207.48246124031,10,4,1.76365,0,34,873,3096,1005,1436,369,168,0,8.18730700000001,288,306,4485,4974,0,20838,22396,873,6.42365700000001,2202,4,100,100,100,NA
2025-2026,April,36,TELANGANA,3646,Narayanpet,424195,245.807833512965,11,228,14.64904,17,0,8863,267216,38991,23033,22831,7268,0,671.486900400004,23535,32373,65978,135639,0,116850,210887,8880,656.837860400004,175945,26,46.6,80.39,100,NA
2025-2026,May,36,TELANGANA,3615,Vikarabad,2808079,225.845963257522,17,1270,32.0409148,165,29,21941,1354563,380843,75971,198557,37204,0,3091.26677007998,77000,124797,127112,275398,0,192486,391752,22106,3059.22585527998,769776,47,84.04,94.91,100,NA
2025-2026,May,36,TELANGANA,3619,Adilabad,1868212,272.541476827293,20,1047,34.76561,87,9,19632,1388077,208815,40013,720356,111561,0,3817.85116529998,69029,121103,109228,236080,0,174478,348667,19719,3783.08555529998,711350,44,55.67,86.64,100.06,NA
2025-2026,May,36,TELANGANA,3623,Nalgonda,2886118,275.230670825059,12,2188,50.6820808,183,23,26611,1296013,228260,103095,335474,101222,0,3617.70735467998,100845,148411,218288,503694,0,381887,810034,26794,3567.02527387998,826265,35,51.47,72.67,100,NA
2025-2026,May,36,TELANGANA,3625,Hanumakonda,768672,225.351487288025,9,141,9.32081,61,5,5767,114813,34701,32319,5305,3660,0,268.0536131,11813,14965,57459,122622,0,98649,200207,5828,258.7328031,74218,23,46.52,64.31,100,NA
2025-2026,May,36,TELANGANA,3626,Jagtial,1254775,300.596977796187,11,359,10.93258,35,2,12597,458705,118823,45836,33223,8826,0,1389.785947,41003,49584,100321,178903,0,170686,278258,12632,1378.853367,344269,13,10.61,80.25,100.01,NA
2025-2026,May,36,TELANGANA,3628,Jayashanker Bhopalapally,1072989,229.318088016684,13,343,10.88498,83,7,7450,280515,69000,40693,40450,18150,0,654.1566146,20062,29837,70711,166439,0,113543,252264,7533,643.2716346,150152,15,29.38,50.17,100.02,NA
2025-2026,May,36,TELANGANA,3645,Mulugu,666970,269.051959089961,13,123,9.39021,59,3,4787,167685,18982,20188,76633,42420,0,460.5499876,12448,18602,52438,116144,0,86255,182042,4846,451.1597776,87776,14,16.23,59.65,100,NA
2025-2026,April,36,TELANGANA,3623,Nalgonda,1475811,289.131748704916,10,1914,45.9948,158,27,25996,951483,169139,102840,243862,100921,0,2797.03423653,87403,126345,217812,502582,0,381891,809899,26154,2751.03943653,608996,34,49.96,69.93,100,NA
2025-2026,April,36,TELANGANA,3627,Jangaon,676465,238.687962521246,10,429,25.4972159,9,6,14734,351239,72952,34133,70417,28714,0,863.862428580001,32402,45326,77332,161197,0,117823,231315,14743,838.365212680001,235252,34,50.28,54.27,100,NA
2025-2026,April,36,TELANGANA,3628,Jayashanker Bhopalapally,532180,237.645501111994,12,314,10.88498,68,7,7416,223922,55806,40674,32214,18147,0,543.025539,18292,26956,70676,166379,0,113544,252279,7484,532.140559,119094,15,27.71,48.6,100.01,NA
2025-2026,April,36,TELANGANA,3630,Bhadradri Kothagudem,812195,273.79029283969,11,433,31.166856,59,1,15309,498498,46422,34124,304370,177046,0,1396.00599,42951,60109,129650,288691,0,223392,458896,15368,1364.839134,299963,42,43.63,69.27,100,NA
2025-2026,April,36,TELANGANA,3636,Nirmal,1417613,251.713313744369,12,768,22.24916,57,5,14204,830740,156576,52295,202810,48564,0,2113.33234259997,64193,98417,129224,263733,0,184905,349677,14261,2091.08318259997,504424,28,14.56,80.43,100,NA
2025-2026,April,36,TELANGANA,3624,Jogulamba Gadwal,478028,407.322664857296,7,148,17.48649,216,1,13076,104272,30398,43941,2130,2844,0,442.2099791,13245,19653,83405,190596,0,170663,365332,13292,424.7234891,55457,39,45.53,46.57,100.01,NA
